section,num_chars,ghostty,alacritty,kitty
Game sprites,112,0,,
Rule segments,3,0,,
Schematic symbols,19,0,,
Box drawing,10,8,,
Separated mosaic,78,78,,
Circle segments,16,16,,
Fill,8,0,,
Emoticon,1,0,,
Terminal graphic,32,4,,
Lines with tick marks,9,,,
Faces,12,0,,
Icons,12,0,,
Chess symbols,24,0,,
Outlined uppercase Latin alphabet,26,0,,
Outlined digits,10,0,,
Block mosaic,230,230,,
Dashed lines,2,0,,
Large type pieces,55,0,,
Block elements,32,0,,
Smalltalk symbols,4,0,,
