section,num_chars,ghostty,alacritty,kitty
Game sprites,112,,,
Rule segments,3,,,
Schematic symbols,19,,,
Box drawing,10,,,
Separated mosaic,78,,,
Circle segments,16,,,
Fill,8,,,
Emoticon,1,,,
Terminal graphic,32,,,
Lines with tick marks,9,,,
Faces,12,,,
Icons,12,,,
Chess symbols,24,,,
Outlined uppercase Latin alphabet,26,,,
Outlined digits,10,,,
Block mosaic,230,,,
Dashed lines,2,,,
Large type pieces,55,,,
Block elements,32,,,
Smalltalk symbols,4,,,
